OBJECTID,id,Date,Positive_Pct,Postive_Pct_14dayAvg,Threshold_5PCT,Status,Red_Status,Orange_Status,Yellow_Status,Green_Status,Total,Negative,Positive,Date_Str,Positive_Pct_Str,Postive_Pct_14dayAvg_Str,Threshold_5PCT_Str,Date_Updated,today
1,1,2020/05/01 06:00:00+00,8.33,9.4,5,-1,-1,1,-1,-1,4647,4260,387,2020/05/01,8.33,9.4,5,2022/02/28,2022/02/28
2,2,2020/05/02 06:00:00+00,7.71,9.3,5,-1,-1,-1,1,-1,2867,2646,221,2020/05/02,7.71,9.3,5,2022/02/28,2022/02/28
3,3,2020/05/03 06:00:00+00,12.33,9.4,5,-1,1,-1,-1,-1,1541,1351,190,2020/05/03,12.33,9.4,5,2022/02/28,2022/02/28
4,4,2020/05/04 06:00:00+00,8.43,9.1,5,-1,-1,1,-1,-1,4865,4455,410,2020/05/04,8.43,9.1,5,2022/02/28,2022/02/28
5,5,2020/05/05 06:00:00+00,8.66,9,5,-1,-1,1,-1,-1,4701,4294,407,2020/05/05,8.66,9,5,2022/02/28,2022/02/28
6,6,2020/05/06 06:00:00+00,8.75,8.8,5,-1,-1,1,-1,-1,4551,4153,398,2020/05/06,8.75,8.8,5,2022/02/28,2022/02/28
7,7,2020/05/07 06:00:00+00,8.48,8.7,5,-1,-1,1,-1,-1,4397,4024,373,2020/05/07,8.48,8.7,5,2022/02/28,2022/02/28
8,8,2020/05/08 06:00:00+00,7.85,8.5,5,-1,-1,-1,1,-1,4889,4505,384,2020/05/08,7.85,8.5,5,2022/02/28,2022/02/28
9,9,2020/05/09 06:00:00+00,7.3,8.4,5,-1,-1,-1,1,-1,2659,2465,194,2020/05/09,7.3,8.4,5,2022/02/28,2022/02/28
10,10,2020/05/10 06:00:00+00,9.25,8.4,5,-1,-1,1,-1,-1,995,903,92,2020/05/10,9.25,8.4,5,2022/02/28,2022/02/28
11,11,2020/05/11 06:00:00+00,11.14,8.7,5,-1,1,-1,-1,-1,5135,4563,572,2020/05/11,11.14,8.7,5,2022/02/28,2022/02/28
12,12,2020/05/12 06:00:00+00,7.9,8.6,5,-1,-1,-1,1,-1,5053,4654,399,2020/05/12,7.9,8.6,5,2022/02/28,2022/02/28
13,13,2020/05/13 06:00:00+00,7.12,8.5,5,-1,-1,-1,1,-1,5265,4890,375,2020/05/13,7.12,8.5,5,2022/02/28,2022/02/28
14,14,2020/05/14 06:00:00+00,10.87,8.8,5,-1,1,-1,-1,-1,5484,4888,596,2020/05/14,10.87,8.8,5,2022/02/28,2022/02/28
15,15,2020/05/15 06:00:00+00,8.42,8.8,5,-1,-1,1,-1,-1,5010,4588,422,2020/05/15,8.42,8.8,5,2022/02/28,2022/02/28
